sp_id,loc_id,time_bucket,repetitive_demand_quantity
9684698,3,202104,55
9684698,3,202105,117
9684698,3,202106,62
9684698,3,202107,45
9684698,3,202108,77
9684698,3,202109,26
9684698,3,202110,13
9684698,3,202111,19
9684698,3,202112,48
9684698,3,202201,63
9684698,3,202202,85
9684698,3,202203,81
9684698,3,202204,109
9684698,3,202205,44
9684698,3,202206,53
9684698,3,202207,62
9684698,3,202208,49
9684698,3,202209,49
9684698,3,202210,13
9684698,3,202211,120
9684698,3,202212,69
9684698,3,202301,24
9684698,3,202302,29
9684698,3,202303,61
9684698,3,202304,24
9684698,3,202305,62
9684698,3,202306,8
9684698,3,202307,24
9684698,3,202308,29
9684698,3,202309,15
9684698,3,202310,26
9684698,3,202311,12
9684698,3,202312,19
9684698,3,202401,41
9684698,3,202402,35
9684698,3,202403,68
9684698,3,202404,80
9684698,3,202405,67
9684698,3,202406,40
9684698,3,202407,55
9684698,3,202408,27
9684698,3,202409,38
9684698,3,202410,21
9684698,3,202411,11
9684698,3,202412,27
9684698,3,202501,10
9684698,3,202502,17
9684698,3,202503,51
9768108,3,202104,47
9768108,3,202105,34
9768108,3,202106,62
9768108,3,202107,44
9768108,3,202108,29
9768108,3,202109,37
9768108,3,202110,84
9768108,3,202111,31
9768108,3,202112,19
9768108,3,202201,38
9768108,3,202202,57
9768108,3,202203,75
9768108,3,202204,68
9768108,3,202205,74
9768108,3,202206,45
9768108,3,202207,59
9768108,3,202208,25
9768108,3,202209,15
9768108,3,202210,60
9768108,3,202211,35
9768108,3,202212,26
9768108,3,202301,47
9768108,3,202302,67
9768108,3,202303,66
9768108,3,202304,31
9768108,3,202305,54
9768108,3,202306,72
9768108,3,202307,63
9768108,3,202308,9
9768108,3,202309,26
9768108,3,202310,31
9768108,3,202311,34
9768108,3,202312,52
9768108,3,202401,25
9768108,3,202402,31
9768108,3,202403,39
9768108,3,202404,61
9768108,3,202405,86
9768108,3,202406,82
9768108,3,202407,28
9768108,3,202408,33
9768108,3,202409,34
9768108,3,202410,24
9768108,3,202411,43
9768108,3,202412,28
9768108,3,202501,57
9768108,3,202502,45
9768108,3,202503,59
9906037,3,202104,3
9906037,3,202105,7
9906037,3,202106,7
9906037,3,202107,5
9906037,3,202108,14
9906037,3,202109,3
9906037,3,202110,5
9906037,3,202111,13
9906037,3,202112,12
9906037,3,202201,21
9906037,3,202202,22
9906037,3,202203,23
9906037,3,202204,24
9906037,3,202205,21
9906037,3,202206,22
9906037,3,202207,16
9906037,3,202208,31
9906037,3,202209,17
9906037,3,202210,6
9906037,3,202211,46
9906037,3,202212,18
9906037,3,202301,36
9906037,3,202302,38
9906037,3,202303,51
9906037,3,202304,35
9906037,3,202305,16
9906037,3,202306,16
9906037,3,202307,31
9906037,3,202308,25
9906037,3,202309,42
9906037,3,202310,57
9906037,3,202311,47
9906037,3,202312,42
9906037,3,202401,19
9906037,3,202402,34
9906037,3,202403,29
9906037,3,202404,23
9906037,3,202405,31
9906037,3,202406,29
9906037,3,202407,22
9906037,3,202408,18
9906037,3,202409,40
9906037,3,202410,18
9906037,3,202411,10
9906037,3,202412,11
9906037,3,202501,35
9906037,3,202502,13
9906037,3,202503,23
9062841,3,202104,163.99
9062841,3,202105,250
9062841,3,202106,293
9062841,3,202107,243.99
9062841,3,202108,230
9062841,3,202109,234
9062841,3,202110,236.98
9062841,3,202111,202.99
9062841,3,202112,231.99
9062841,3,202201,182
9062841,3,202202,188.93
9062841,3,202203,171
9062841,3,202204,162
9062841,3,202205,189
9062841,3,202206,190
9062841,3,202207,134.99
9062841,3,202208,170.99
9062841,3,202209,181.99
9062841,3,202210,195.98
9062841,3,202211,182.99
9062841,3,202212,156.99
9062841,3,202301,141
9062841,3,202302,139.95
9062841,3,202303,116
9062841,3,202304,59
9062841,3,202305,107
9062841,3,202306,109
9062841,3,202307,79.99
9062841,3,202308,82
9062841,3,202309,130
9062841,3,202310,139
9062841,3,202311,115
9062841,3,202312,101
9062841,3,202401,118
9062841,3,202402,99
9062841,3,202403,124.97
9062841,3,202404,83
9062841,3,202405,73
9062841,3,202406,105
9062841,3,202407,84
9062841,3,202408,90
9062841,3,202409,122.99
9062841,3,202410,101
9062841,3,202411,84
9062841,3,202412,92
9062841,3,202501,85
9062841,3,202502,77
9062841,3,202503,73
8345171,3,202104,28
8345171,3,202105,28
8345171,3,202106,32
8345171,3,202107,80
8345171,3,202108,31
8345171,3,202109,37
8345171,3,202110,16
8345171,3,202111,17
8345171,3,202112,20
8345171,3,202201,23
8345171,3,202202,10
8345171,3,202203,16
8345171,3,202204,15
8345171,3,202205,9
8345171,3,202206,10
8345171,3,202207,29
8345171,3,202208,20
8345171,3,202209,13
8345171,3,202210,21
8345171,3,202211,19
8345171,3,202212,9
8345171,3,202301,16
8345171,3,202302,16
8345171,3,202303,23
8345171,3,202304,9
8345171,3,202305,16
8345171,3,202306,18
8345171,3,202307,17
8345171,3,202308,6
8345171,3,202309,1
8345171,3,202310,16
8345171,3,202311,17
8345171,3,202312,6
8345171,3,202401,15
8345171,3,202402,8
8345171,3,202403,21
8345171,3,202404,13
8345171,3,202405,28
8345171,3,202406,35
8345171,3,202407,20
8345171,3,202408,25
8345171,3,202409,15
8345171,3,202410,30
8345171,3,202411,10
8345171,3,202412,8
8345171,3,202501,4
8345171,3,202502,1
8345171,3,202503,9
9142925,3,202104,44
9142925,3,202105,184
9142925,3,202106,107
9142925,3,202107,1107
9142925,3,202108,285
9142925,3,202109,129
9142925,3,202110,70
9142925,3,202111,92
9142925,3,202112,142
9142925,3,202201,51
9142925,3,202202,186
9142925,3,202203,203
9142925,3,202204,65
9142925,3,202205,98
9142925,3,202206,108
9142925,3,202207,197
9142925,3,202208,51
9142925,3,202209,103
9142925,3,202210,76
9142925,3,202211,64
9142925,3,202212,39
9142925,3,202301,186
9142925,3,202302,71
9142925,3,202303,57
9142925,3,202304,100
9142925,3,202305,129
9142925,3,202306,75
9142925,3,202307,286
9142925,3,202308,205
9142925,3,202309,128
9142925,3,202310,97
9142925,3,202311,95
9142925,3,202312,103
9142925,3,202401,120
9142925,3,202402,283
9142925,3,202403,156
9142925,3,202404,124
9142925,3,202405,100
9142925,3,202406,50
9142925,3,202407,95
9142925,3,202408,88
9142925,3,202409,67
9142925,3,202410,147
9142925,3,202411,51
9142925,3,202412,72
9142925,3,202501,89
9142925,3,202502,341
9142925,3,202503,107
9033337,3,202104,24
9033337,3,202105,99
9033337,3,202106,19
9033337,3,202107,28
9033337,3,202108,73
9033337,3,202109,57
9033337,3,202110,91
9033337,3,202111,106
9033337,3,202112,26
9033337,3,202201,63
9033337,3,202202,52
9033337,3,202203,60
9033337,3,202204,30
9033337,3,202205,21
9033337,3,202206,57
9033337,3,202207,50
9033337,3,202208,90
9033337,3,202209,47
9033337,3,202210,73
9033337,3,202211,29
9033337,3,202212,33
9033337,3,202301,56
9033337,3,202302,46
9033337,3,202303,56
9033337,3,202304,29
9033337,3,202305,49
9033337,3,202306,65
9033337,3,202307,36
9033337,3,202308,36
9033337,3,202309,10
9033337,3,202310,30
9033337,3,202311,35
9033337,3,202312,26
9033337,3,202401,25
9033337,3,202402,25
9033337,3,202403,49
9033337,3,202404,40
9033337,3,202405,39
9033337,3,202406,25
9033337,3,202407,65
9033337,3,202408,50
9033337,3,202409,65
9033337,3,202410,42
9033337,3,202411,32
9033337,3,202412,37
9033337,3,202501,24
9033337,3,202502,23
9033337,3,202503,36
9907735,3,202104,66
9907735,3,202105,93
9907735,3,202106,21
9907735,3,202107,29
9907735,3,202108,54
9907735,3,202109,97
9907735,3,202110,98
9907735,3,202111,150
9907735,3,202112,58
9907735,3,202201,96
9907735,3,202202,63
9907735,3,202203,67
9907735,3,202204,70
9907735,3,202205,61
9907735,3,202206,89
9907735,3,202207,54
9907735,3,202208,68
9907735,3,202209,52
9907735,3,202210,89
9907735,3,202211,96
9907735,3,202212,83
9907735,3,202301,114
9907735,3,202302,39
9907735,3,202303,66
9907735,3,202304,61
9907735,3,202305,103
9907735,3,202306,74
9907735,3,202307,34
9907735,3,202308,40
9907735,3,202309,67
9907735,3,202310,36
9907735,3,202311,121
9907735,3,202312,112
9907735,3,202401,162
9907735,3,202402,131
9907735,3,202403,115
9907735,3,202404,122
9907735,3,202405,81
9907735,3,202406,88
9907735,3,202407,100
9907735,3,202408,96
9907735,3,202409,30
9907735,3,202410,60
9907735,3,202411,64
9907735,3,202412,113
9907735,3,202501,137
9907735,3,202502,98
9907735,3,202503,109
9680126,3,202104,7
9680126,3,202105,21
9680126,3,202106,23
9680126,3,202107,29
9680126,3,202108,34
9680126,3,202109,17
9680126,3,202110,1
9680126,3,202111,19
9680126,3,202112,20
9680126,3,202201,26
9680126,3,202202,26
9680126,3,202203,15
9680126,3,202204,3
9680126,3,202205,4
9680126,3,202206,28
9680126,3,202207,14
9680126,3,202208,18
9680126,3,202209,21
9680126,3,202210,12
9680126,3,202211,13
9680126,3,202212,5
9680126,3,202301,15
9680126,3,202302,9
9680126,3,202303,24
9680126,3,202304,8
9680126,3,202305,18
9680126,3,202306,23
9680126,3,202307,19
9680126,3,202308,23
9680126,3,202309,10
9680126,3,202310,8
9680126,3,202311,12
9680126,3,202312,6
9680126,3,202401,9
9680126,3,202402,11
9680126,3,202403,16
9680126,3,202404,14
9680126,3,202405,21
9680126,3,202406,20
9680126,3,202407,20
9680126,3,202408,25
9680126,3,202409,24
9680126,3,202410,21
9680126,3,202411,4
9680126,3,202412,12
9680126,3,202501,7
9680126,3,202502,7
9680126,3,202503,13
10013001,3,202104,7
10013001,3,202105,20
10013001,3,202106,26
10013001,3,202107,14
10013001,3,202108,16
10013001,3,202109,19
10013001,3,202110,27
10013001,3,202111,31
10013001,3,202112,13
10013001,3,202201,14
10013001,3,202202,19
10013001,3,202203,40
10013001,3,202204,23
10013001,3,202205,43
10013001,3,202206,30
10013001,3,202207,27
10013001,3,202208,37
10013001,3,202209,28
10013001,3,202210,28
10013001,3,202211,21
10013001,3,202212,26
10013001,3,202301,15
10013001,3,202302,25
10013001,3,202303,17
10013001,3,202304,28
10013001,3,202305,36
10013001,3,202306,39
10013001,3,202307,24
10013001,3,202308,24
10013001,3,202309,16
10013001,3,202310,22
10013001,3,202311,25
10013001,3,202312,19
10013001,3,202401,17
10013001,3,202402,12
10013001,3,202403,29
10013001,3,202404,42
10013001,3,202405,26
10013001,3,202406,30
10013001,3,202407,20
10013001,3,202408,30
10013001,3,202409,24
10013001,3,202410,39
10013001,3,202411,26
10013001,3,202412,16
10013001,3,202501,17
10013001,3,202502,22
10013001,3,202503,24
9652047,3,202104,6
9652047,3,202105,22
9652047,3,202106,73
9652047,3,202107,42
9652047,3,202108,32
9652047,3,202109,37
9652047,3,202110,32
9652047,3,202111,41
9652047,3,202112,33
9652047,3,202201,22
9652047,3,202202,33
9652047,3,202203,65
9652047,3,202204,37
9652047,3,202205,31
9652047,3,202206,33
9652047,3,202207,39
9652047,3,202208,34
9652047,3,202209,37
9652047,3,202210,37
9652047,3,202211,20
9652047,3,202212,29
9652047,3,202301,47
9652047,3,202302,13
9652047,3,202303,35
9652047,3,202304,39
9652047,3,202305,49
9652047,3,202306,43
9652047,3,202307,86
9652047,3,202308,43
9652047,3,202309,64
9652047,3,202310,15
9652047,3,202311,21
9652047,3,202312,31
9652047,3,202401,33
9652047,3,202402,67
9652047,3,202403,50
9652047,3,202404,18
9652047,3,202405,32
9652047,3,202406,26
9652047,3,202407,22
9652047,3,202408,65
9652047,3,202409,67
9652047,3,202410,15
9652047,3,202411,24
9652047,3,202412,19
9652047,3,202501,26
9652047,3,202502,13
9652047,3,202503,5
9147270,3,202104,110
9147270,3,202105,440
9147270,3,202106,210
9147270,3,202107,150
9147270,3,202108,170
9147270,3,202109,50
9147270,3,202110,330
9147270,3,202111,130
9147270,3,202112,60
9147270,3,202201,60
9147270,3,202202,130
9147270,3,202203,160
9147270,3,202204,220
9147270,3,202205,140
9147270,3,202206,360
9147270,3,202207,130
9147270,3,202208,130
9147270,3,202209,60
9147270,3,202210,180
9147270,3,202211,150
9147270,3,202212,150
9147270,3,202301,80
9147270,3,202302,120
9147270,3,202303,160
9147270,3,202304,180
9147270,3,202305,80
9147270,3,202306,80
9147270,3,202307,124
9147270,3,202308,94
9147270,3,202309,164
9147270,3,202310,60
9147270,3,202311,110
9147270,3,202312,120
9147270,3,202401,80
9147270,3,202402,90
9147270,3,202403,80
9147270,3,202404,440
9147270,3,202405,110
9147270,3,202406,150
9147270,3,202407,244
9147270,3,202408,100
9147270,3,202409,70
9147270,3,202410,100
9147270,3,202411,100
9147270,3,202412,140
9147270,3,202501,390
9147270,3,202502,50
9147270,3,202503,100
8850878,3,202104,109
8850878,3,202105,125.99
8850878,3,202106,139
8850878,3,202107,133
8850878,3,202108,89
8850878,3,202109,133
8850878,3,202110,130
8850878,3,202111,104.95
8850878,3,202112,106
8850878,3,202201,88
8850878,3,202202,87
8850878,3,202203,108
8850878,3,202204,187
8850878,3,202205,100
8850878,3,202206,107
8850878,3,202207,119
8850878,3,202208,83
8850878,3,202209,92
8850878,3,202210,136
8850878,3,202211,136.95
8850878,3,202212,114
8850878,3,202301,57
8850878,3,202302,80
8850878,3,202303,100
8850878,3,202304,101
8850878,3,202305,123
8850878,3,202306,155
8850878,3,202307,82
8850878,3,202308,72
8850878,3,202309,129.92
8850878,3,202310,99
8850878,3,202311,80
8850878,3,202312,95
8850878,3,202401,82
8850878,3,202402,75
8850878,3,202403,93.97
8850878,3,202404,79
8850878,3,202405,120
8850878,3,202406,77
8850878,3,202407,99
8850878,3,202408,139.96
8850878,3,202409,132
8850878,3,202410,168
8850878,3,202411,111
8850878,3,202412,69
8850878,3,202501,82
8850878,3,202502,82.98
8850878,3,202503,76
8594295,3,202104,12
8594295,3,202105,29
8594295,3,202106,26
8594295,3,202107,20
8594295,3,202108,34
8594295,3,202109,35
8594295,3,202110,21
8594295,3,202111,16
8594295,3,202112,23
8594295,3,202201,21
8594295,3,202202,37
8594295,3,202203,28
8594295,3,202204,22
8594295,3,202205,25
8594295,3,202206,26
8594295,3,202207,30
8594295,3,202208,30
8594295,3,202209,17
8594295,3,202210,27
8594295,3,202211,5
8594295,3,202212,7
8594295,3,202301,5
8594295,3,202302,13
8594295,3,202303,2
8594295,3,202304,9
8594295,3,202305,9
8594295,3,202306,12
8594295,3,202307,34
8594295,3,202308,28
8594295,3,202309,32
8594295,3,202310,40
8594295,3,202311,24
8594295,3,202312,31
8594295,3,202401,24
8594295,3,202402,13
8594295,3,202403,43
8594295,3,202404,22
8594295,3,202405,21
8594295,3,202406,19
8594295,3,202407,41
8594295,3,202408,29
8594295,3,202409,38
8594295,3,202410,30
8594295,3,202411,41
8594295,3,202412,34
8594295,3,202501,51
8594295,3,202502,43
8594295,3,202503,40
8219230,3,202104,206
8219230,3,202105,472
8219230,3,202106,692
8219230,3,202107,587.98
8219230,3,202108,810
8219230,3,202109,789
8219230,3,202110,714.98
8219230,3,202111,885.99
8219230,3,202112,709.98
8219230,3,202201,531.96
8219230,3,202202,709
8219230,3,202203,450.98
8219230,3,202204,396
8219230,3,202205,624
8219230,3,202206,492
8219230,3,202207,489
8219230,3,202208,622.97
8219230,3,202209,485.98
8219230,3,202210,511.98
8219230,3,202211,527.99
8219230,3,202212,486.98
8219230,3,202301,447
8219230,3,202302,398
8219230,3,202303,385.98
8219230,3,202304,450
8219230,3,202305,460.91
8219230,3,202306,359
8219230,3,202307,327
8219230,3,202308,388
8219230,3,202309,431
8219230,3,202310,422
8219230,3,202311,350
8219230,3,202312,346
8219230,3,202401,307.99
8219230,3,202402,318.95
8219230,3,202403,331
8219230,3,202404,411
8219230,3,202405,334
8219230,3,202406,246
8219230,3,202407,327
8219230,3,202408,276
8219230,3,202409,362.98
8219230,3,202410,369
8219230,3,202411,334
8219230,3,202412,248
8219230,3,202501,226.95
8219230,3,202502,249
8219230,3,202503,261
9929508,3,202104,169
9929508,3,202105,509
9929508,3,202106,505
9929508,3,202107,580
9929508,3,202108,358
9929508,3,202109,224
9929508,3,202110,528
9929508,3,202111,607
9929508,3,202112,429
9929508,3,202201,306.97
9929508,3,202202,520
9929508,3,202203,636
9929508,3,202204,423
9929508,3,202205,261
9929508,3,202206,262.97
9929508,3,202207,770
9929508,3,202208,460
9929508,3,202209,467
9929508,3,202210,593
9929508,3,202211,552
9929508,3,202212,414.98
9929508,3,202301,446
9929508,3,202302,422
9929508,3,202303,482
9929508,3,202304,400
9929508,3,202305,409
9929508,3,202306,510.97
9929508,3,202307,427
9929508,3,202308,377
9929508,3,202309,395
9929508,3,202310,368
9929508,3,202311,409
9929508,3,202312,558
9929508,3,202401,564
9929508,3,202402,499
9929508,3,202403,395
9929508,3,202404,320
9929508,3,202405,439
9929508,3,202406,330
9929508,3,202407,447
9929508,3,202408,310.99
9929508,3,202409,195.94
9929508,3,202410,671.94
9929508,3,202411,465.94
9929508,3,202412,230.96
9929508,3,202501,278
9929508,3,202502,416.93
9929508,3,202503,357.98
9028770,3,202104,102
9028770,3,202105,171
9028770,3,202106,285
9028770,3,202107,289
9028770,3,202108,384
9028770,3,202109,244
9028770,3,202110,202
9028770,3,202111,417
9028770,3,202112,314
9028770,3,202201,208
9028770,3,202202,306
9028770,3,202203,327
9028770,3,202204,139
9028770,3,202205,130
9028770,3,202206,292
9028770,3,202207,212
9028770,3,202208,317
9028770,3,202209,297
9028770,3,202210,391
9028770,3,202211,182
9028770,3,202212,395
9028770,3,202301,194
9028770,3,202302,367
9028770,3,202303,326
9028770,3,202304,242
9028770,3,202305,308
9028770,3,202306,151
